id,team,bonus_event,details
1,LKA,to_super_12,
2,NAM,to_super_12,
3,SCO,to_super_12,
4,BAN,to_super_12,
5,ENG,to_knockouts,
6,AUS,to_knockouts,
7,PAK,to_knockouts,
8,NZL,to_knockouts,
9,IRE,hattrick,Curtis Campher vs Netherlands
10,IRE,hattrick,Curtis Campher vs Netherlands
11,LKA,hattrick,Wanindu Hasaranga vs South Africa
12,ENG,century,Jos Buttler vs Sri Lanka
13,RSA,hattrick,Kagiso Rabada vs England
14,AUS,fifer,Adam Zampa vs Bangladesh
15,AFG,fifer,Mujeeb Ur Rahman vs Scotland
